A00;COLERA
R40;SOMNOLENCIA, ESTUPOR Y COMA
R41;OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LA FUNCION COGNOSCITIVA Y LA CONCIENCIA
R42;MAREO Y DESVANECIMIENTO
R43;TRASTORNOS DEL OLFATO Y DEL GUSTO
R44;OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN LAS SENSACIONES Y PERCEPCIONES GENERALES
R45;SINTOMAS Y SIGNOS QUE INVOLUCRAN EL ESTADO EMOCIONAL
R46;SINTOMAS Y SIGNOS QUE INVOLUCRAN LA APARIENCIA Y EL COMPORTAMIENTO
R47;ALTERACIONES DEL HABLA, NO CLASIFICADAS EN OTRA PARTE
R48;DISLEXIA Y OTRAS DISFUNCIONES SIMBOLICAS, NO CLASIFICADAS EN OTRA PARTE
R49;ALTERACIONES DE LA VOZ
R50;FIEBRE DE ORIGEN DESCONOCIDO
R51;CEFALEA
R52;DOLOR, NO CLASIFICADO EN OTRA PARTE
R53;MALESTAR Y FATIGA
R54;SENILIDAD
R55;SINCOPE Y COLAPSO
R56;CONVULSIONES, NO CLASIFICADAS EN OTRA PARTE
R57;CHOQUE, NO CLASIFICADO EN OTRA PARTE
R58;HEMORRAGIA, NO CLASIFICADA EN OTRA PARTE
R59;ADENOMEGALIA
R60;EDEMA, NO CLASIFICADO EN OTRA PARTE
R61;HIPERHIDROSIS
R62;FALTA DE DESARROLLO FISIOLOGICO NORMAL ESPERADO
R63;SINTOMAS Y SIGNOS CONCERNIENTES A LA ALIMENTACION Y A LA INGESTION DE LIQUIDOS
R64;CAQUEXIA
R68;OTROS SINTOMAS Y SIGNOS GENERALES
R69;CAUSAS DE MORBILIDAD DESCONOCIDAS Y NO ESPECIFICADAS
R70;VELOCIDAD DE ERITROSEDIMENTACION ELEVADA Y OTRAS ANORMALIDADES DE LA VISCOSIDAD DEL PLASMA
R71;ANORMALIDAD DE LOS ERITROCITOS
R72;ANORMALIDADES DE LOS LEUCOCITOS, NO CLASIFICADAS EN OTRA PARTE
R73;NIVEL ELEVADO DE GLUCOSA EN SANGRE
R74;NIVEL ANORMAL DE ENZIMAS EN SUERO
R75;EVIDENCIAS DE LABORATORIO DEL VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH)
R76;OTROS HALLAZGOS INMUNOLOGICOS ANORMALES EN SUERO
R77;OTRAS ANORMALIDADES DE LAS PROTEINAS PLASMATICAS
R78;HALLAZGO DE DROGAS Y DE OTRAS SUSTANCIAS QUE NORMALMENTE NO SE ENCUENTRAN EN LA SANGRE
R79;OTROS HALLAZGOS ANORMALES EN LA QUIMICA SANGUINEA
R80;PROTEINURIA AISLADA
R81;GLUCOSURIA
R82;OTROS HALLAZGOS ANORMALES EN LA ORINA
R83;HALLAZGOS ANORMALES EN EL LIQUIDO CEFALORRAQUIDEO
R84;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS RESPIRATORIOS Y TORACICOS
R85;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y DE LA CAVIDAD ABDOMINAL
R86;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS
R87;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES FEMENINOS
R89;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE OTROS ORGANOS, SISTEMAS Y TEJIDOS
R90;HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DEL SISTEMA NERVIOSO CENTRAL
R91;HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DEL PULMON
R92;HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE LA MAMA
R93;HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE OTRAS ESTRUCTURAS DEL CUERPO
R94;RESULTADOS ANORMALES DE ESTUDIOS FUNCIONALES
R95;SINDROME DE LA MUERTE SUBITA INFANTIL
R96;OTRAS MUERTES SUBITAS DE CAUSA DESCONOCIDA
R98;MUERTE SIN ASISTENCIA
R99;OTRAS CAUSAS MAL DEFINIDAS Y LAS NO ESPECIFICADAS DE MORTALIDAD
S00;TRAUMATISMO SUPERFICIAL DE LA CABEZA
S01;HERIDA DE LA CABEZA
S02;FRACTURA DE LOS HUESOS DEL CRANEO Y DE LA CARA
S03;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y DE LIGAMENTOS DE LA CABEZA
S04;TRAUMATISMO DE NERVIOS CRANEALES
S05;TRAUMATISMO DEL OJO Y DE LA ORBITA
S06;TRAUMATISMO INTRACRANEAL
S07;TRAUMATISMO POR APLASTAMIENTO DE LA CABEZA
S08;AMPUTACION TRAUMATICA DE PARTE DE LA CABEZA
S09;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CABEZA
S10;TRAUMATISMO SUPERFICIAL DEL CUELLO
S11;HERIDA DEL CUELLO
S12;FRACTURA DEL CUELLO
S13;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y DE LIGAMENTOS DEL CUELLO
S14;TRAUMATISMO DE LA MEDULA ESPINAL Y DE NERVIOS A NIVEL DEL CUELLO
S15;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL CUELLO
S16;TRAUMATISMO DE TENDON Y MUSCULOS A NIVEL DEL CUELLO
S17;TRAUMATISMO POR APLASTAMIENTO DEL CUELLO
S18;AMPUTACION TRAUMATICA A NIVEL DEL CUELLO
S19;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL CUELLO
S20;TRAUMATISMO SUPERFICIAL DEL TORAX
S21;HERIDA DEL TORAX
S22;FRACTURA DE LAS COSTILLAS, DEL ESTERNON Y DE LA COLUMNA TORACICA (DORSAL)
S23;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y DE LIGAMENTOS DEL TORAX
S24;TRAUMATISMO DE NERVIOS Y DE LA MEDULA ESPINAL A NIVEL DEL TORAX
S25;TRAUMATISMO DE VASOS SANGUINEOS DEL TORAX
S26;TRAUMATISMO DEL CORAZON
S27;TRAUMATISMO DE OTROS ORGANOS INTRATORACICOS Y DE LOS NO ESPECIFICADOS
S28;TRAUMATISMO POR APLASTAMIENTO DEL TORAX Y AMPUTACION TRAUMATICA DE PARTE DEL TORAX
S29;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL TORAX
S30;TRAUMATISMO SUPERFICIAL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S31;HERIDA DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S32;FRACTURA DE LA COLUMNA LUMBAR Y DE LA PELVIS
S33;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA COLUMNA LUMBAR Y DE LA PELVIS
S34;TRAUMATISMO DE LOS NERVIOS Y DE LA MEDULA ESPINAL LUMBAR, A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S35;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S36;TRAUMATISMO DE ORGANOS INTRAABDOMINALES
S37;TRAUMATISMO DE ORGANOS PELVICOS
S38;TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMATICA DE PARTE DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S39;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS
S40;TRAUMATISMO SUPERFICIAL DEL HOMBRO Y DEL BRAZO
S41;HERIDA DEL HOMBRO Y DEL BRAZO
S42;FRACTURA DEL HOMBRO Y DEL BRAZO
S43;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA CINTURA ESCAPULAR
S44;TRAUMATISMO DE NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO
S45;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL HOMBRO Y DEL BRAZO
S46;TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL HOMBRO Y DEL BRAZO
S47;TRAUMATISMO POR APLASTAMIENTO DEL HOMBRO Y DEL BRAZO
S48;AMPUTACION TRAUMATICA DEL HOMBRO Y DEL BRAZO
S49;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL HOMBRO Y DEL BRAZO
S50;TRAUMATISMO SUPERFICIAL DEL ANTEBRAZO Y DEL CODO
S51;HERIDA DEL ANTEBRAZO Y DEL CODO
S52;FRACTURA DEL ANTEBRAZO
S53;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL CODO
S54;TRAUMATISMO DE NERVIOS A NIVEL DEL ANTEBRAZO
S55;TRAUMATISMO DE LOS VASOS SANGUINEOS A NIVEL DEL ANTEBRAZO
S56;TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL ANTEBRAZO
S57;TRAUMATISMO POR APLASTAMIENTO DEL ANTEBRAZO
S58;AMPUTACION TRAUMATICA DEL ANTEBRAZO
S59;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL ANTEBRAZO
S60;TRAUMATISMO SUPERFICIAL DE LA MU¾ECA Y DE LA MANO
S61;HERIDA DE LA MU¾ECA Y DE LA MANO
S62;FRACTURA A NIVEL DE LA MU¾ECA Y DE LA MANO
S63;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS A NIVEL DE LA MU¾ECA Y DE LA MANO
S64;TRAUMATISMO DE NERVIOS A NIVEL DE LA MU¾ECA Y DE LA MANO
S65;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA MU¾ECA Y DE LA MANO
S66;TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA MU¾ECA Y DE LA MANO
S67;TRAUMATISMO POR APLASTAMIENTO DE LA MU¾ECA Y DE LA MANO
S68;AMPUTACION TRAUMATICA DE LA MU¾ECA Y DE LA MANO
S69;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA MU¾ECA Y DE LA MANO
S70;TRAUMATISMO SUPERFICIAL DE LA CADERA Y DEL MUSLO
S71;HERIDA DE LA CADERA Y DEL MUSLO
S72;FRACTURA DEL FEMUR
S73;LUXACION, ESGUINCE Y TORCEDURA DE LA ARTICULACION Y DE LOS LIGAMENTOS DE LA CADERA
S74;TRAUMATISMO DE NERVIOS A NIVEL DE LA CADERA Y DEL MUSLO
S75;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA CADERA Y DEL MUSLO
S76;TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DE LA CADERA Y DEL MUSLO
S77;TRAUMATISMO POR APLASTAMIENTO DE LA CADERA Y DEL MUSLO
S78;AMPUTACION TRAUMATICA DE LA CADERA Y DEL MUSLO
S79;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA CADERA Y DEL MUSLO
S80;TRAUMATISMO SUPERFICIAL DE LA PIERNA
S81;HERIDA DE LA PIERNA
S82;FRACTURA DE LA PIERNA, INCLUSIVE DEL TOBILLO
S83;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA RODILLA
S84;TRAUMATISMO DE NERVIOS A NIVEL DE LA PIERNA
S85;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DE LA PIERNA
S86;TRAUMATISMO DE TENDON Y DE MUSCULO A NIVEL DE LA PIERNA
S87;TRAUMATISMO POR APLASTAMIENTO DE LA PIERNA
S88;AMPUTACION TRAUMATICA DE LA PIERNA
S89;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DE LA PIERNA
S90;TRAUMATISMO SUPERFICIAL DEL TOBILLO Y DEL PIE
S91;HERIDA DEL TOBILLO Y DEL PIE
S92;FRACTURA DEL PIE, EXCEPTO DEL TOBILLO
S93;LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DEL TOBILLO Y DEL PIE
S94;TRAUMATISMO DE NERVIOS A NIVEL DEL PIE Y DEL TOBILLO
S95;TRAUMATISMO DE VASOS SANGUINEOS A NIVEL DEL PIE Y DEL TOBILLO
S96;TRAUMATISMO DE TENDON Y MUSCULO A NIVEL DEL PIE Y DEL TOBILLO
S97;TRAUMATISMO POR APLASTAMIENTO DEL PIE Y DEL TOBILLO
S98;AMPUTACION TRAUMATICA DEL PIE Y DEL TOBILLO
S99;OTROS TRAUMATISMOS Y LOS NO ESPECIFICADOS DEL PIE Y DEL TOBILLO
T00;TRAUMATISMOS SUPERFICIALES QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T01;HERIDAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T02;FRACTURAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T03;LUXACIONES, ESGUINCES Y TORCEDURAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T04;TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T05;AMPUTACIONES TRAUMATICAS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO
T06;OTROS TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO, NO CLASIFICADOS EN OTRA PARTE
T07;TRAUMATISMOS MULTIPLES, NO ESPECIFICADOS
T08;FRACTURA DE LA COLUMNA VERTEBRAL, NIVEL NO ESPECIFICADO
T09;OTROS TRAUMATISMOS DE LA COLUMNA VERTEBRAL Y DEL TRONCO, NIVEL NO ESPECIFICADO
T10;FRACTURA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO
T11;OTROS TRAUMATISMOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO
T12;FRACTURA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO
T13;OTROS TRAUMATISMOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO
T14;TRAUMATISMOS DE REGIONES NO ESPECIFICADAS DEL CUERPO
T15;CUERPO EXTRA¾O EN PARTE EXTERNA DEL OJO
T16;CUERPO EXTRA¾O EN EL OIDO
T17;CUERPO EXTRA¾O EN LAS VIAS RESPIRATORIAS
T18;CUERPO EXTRA¾O EN EL TUBO DIGESTIVO
T19;CUERPO EXTRA¾O EN LAS VIAS GENITOURINARIAS
T20;QUEMADURA Y CORROSION DE LA CABEZA Y DEL CUELLO
T21;QUEMADURA Y CORROSION DEL TRONCO
T22;QUEMADURA Y CORROSION DEL HOMBRO Y DEL MIEMBRO SUPERIOR, EXCEPTO DE LA MU¾ECA Y DE LA MANO
T23;QUEMADURA Y CORROSION DE LA MU¾ECA Y DE LA MANO
T24;QUEMADURA Y CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, EXCEPTO DEL TOBILLO Y DEL PIE
T25;QUEMADURA Y CORROSION DEL TOBILLO Y DEL PIE
T26;QUEMADURA Y CORROSION LIMITADA AL OJO Y A SUS ANEXOS
T27;QUEMADURA Y CORROSION DE LAS VIAS RESPIRATORIAS
T28;QUEMADURA Y CORROSION DE OTROS ORGANOS INTERNOS
T29;QUEMADURAS Y CORROSIONES DE MULTIPLES REGIONES DEL CUERPO
T30;QUEMADURA Y CORROSION, REGION DEL CUERPO NO ESPECIFICADA
T31;QUEMADURAS CLASIFICADAS SEGUN LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA
T32;CORROSIONES CLASIFICADAS SEGUN LA EXTENSION DE LA SUPERFICIE DEL CUERPO AFECTADA
T33;CONGELAMIENTO SUPERFICIAL
T34;CONGELAMIENTO CON NECROSIS TISULAR
T35;CONGELAMIENTO QUE AFECTA MULTIPLES REGIONES DEL CUERPO Y CONGELAMIENTO NO ESPECIFICADO
T36;ENVENENAMIENTO POR ANTIBIOTICOS SISTEMICOS
T37;ENVENENAMIENTO POR OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS
T38;ENVENENAMIENTO POR HORMONAS Y POR SUS SUSTITUTOS Y ANTAGONISTAS SINTETICOS, NO CLASIFICADOS EN OTRA PARTE
T39;ENVENENAMIENTO POR ANALGESICOS NO NARCOTICOS, ANTIPIRETICOS Y ANTIRREUMATICOS
T40;ENVENENAMIENTO POR NARCOTICOS Y PSICODISLEPTICOS (ALUCINOGENOS)
T41;ENVENENAMIENTO POR ANESTESICOS Y GASES TERAPEUTICOS
T42;ENVENENAMIENTO POR ANTIEPILEPTICOS, HIPNOTICOS, SEDANTES Y DROGAS ANTIPARKINSONIANAS
T43;ENVENENAMIENTO POR PSICOTROPICOS, NO CLASIFICADOS EN OTRA PARTE
T44;ENVENENAMIENTO POR DROGAS QUE AFECTAN PRINCIPALMENTE EL SISTEMA NERVIOSO AUTONOMO
T45;ENVENENAMIENTO POR AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO CLASIFICADOS EN OTRA PARTE
T46;ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA CARDIOVASCULAR
T47;ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA GASTROINTESTINAL
T48;ENVENENAMIENTO POR AGENTES CON ACCION PRINCIPAL SOBRE LOS MUSCULOS LISOS Y ESQUELETICOS Y SOBRE EL SISTEMA RESPIRATORIO
T49;ENVENENAMIENTO POR AGENTES TOPICOS QUE AFECTAN PRINCIPALMENTE LA PIEL Y LAS MEMBRANAS MUCOSAS Y POR DROGAS OFTALMOLOGICAS, OTORRINOLARINGOLOGICAS Y DENTALES
T50;ENVENENAMIENTO POR DIURETICOS Y POR OTRAS DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS NO ESPECIFICADAS
T51;EFECTO TOXICO DEL ALCOHOL
T52;EFECTO TOXICO DE DISOLVENTES ORGANICOS
T53;EFECTO TOXICO DE LOS DERIVADOS HALOGENADOS DE LOS HIDROCARBUROS ALIFATICOS Y AROMATICOS
T54;EFECTO TOXICO DE SUSTANCIAS CORROSIVAS
T55;EFECTO TOXICO DE DETERGENTES Y JABONES
T56;EFECTO TOXICO DE METALES
T57;EFECTO TOXICO DE OTRAS SUSTANCIAS INORGANICAS (NO ORGANICAS)
T58;EFECTO TOXICO DEL MONOXIDO DE CARBONO
T59;EFECTO TOXICO DE OTROS GASES, HUMOS Y VAPORES
T60;EFECTO TOXICO DE PLAGUICIDAS (PESTICIDAS)
T61;EFECTO TOXICO DE SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTOS MARINOS
T62;EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO
T63;EFECTO TOXICO DEL CONTACTO CON ANIMALES VENENOSOS
T64;EFECTO TOXICO DE LA AFLATOXINA Y DE OTRAS MICOTOXINAS CONTAMINANTES DE LOS ALIMENTOS
T65;EFECTO TOXICO DE OTRAS SUSTANCIAS Y DE LAS NO ESPECIFICADAS
T66;EFECTOS NO ESPECIFICADOS DE LA RADIACION
T67;EFECTOS DEL CALOR Y DE LA LUZ
T68;HIPOTERMIA
T69;OTROS EFECTOS DE LA REDUCCION DE LA TEMPERATURA
T70;EFECTOS DE LA PRESION DEL AIRE Y DE LA PRESION DEL AGUA
T71;ASFIXIA
T73;EFECTOS DE OTRAS PRIVACIONES
T74;SINDROMES DE MALTRATO
T75;EFECTOS DE OTRAS CAUSAS EXTERNAS
T78;EFECTOS ADVERSOS, NO CLASIFICADOS EN OTRA PARTE
T79;ALGUNAS COMPLICACIONES PRECOCES DE LOS TRAUMATISMOS, NO CLASIFICADAS EN OTRA PARTE
T80;COMPLICACIONES CONSECUTIVAS A INFUSION, TRANSFUSION E INYECCION TERAPEUTICA
T81;COMPLICACIONES DE PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE
T82;COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS CARDIOVASCULARES
T83;COMPLICACIONES DE DISPOSITIVOS, IMPLANTES E INJERTOS GENITOURINARIOS
T84;COMPLICACIONES DE DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS ORTOPEDICOS INTERNOS
T85;COMPLICACIONES DE OTROS DISPOSITIVOS PROTESICOS, IMPLANTES E INJERTOS INTERNOS
T86;FALLA Y RECHAZO DEL TRANSPLANTE DE ORGANOS Y TEJIDOS
T87;COMPLICACIONES PECULIARES DE LA REINSERCION Y DE LA AMPUTACION
T88;OTRAS COMPLICACIONES DE LA ATENCION MEDICA Y QUIRURGICA, NO CLASIFICADAS EN OTRA PARTE
T90;SECUELAS DE TRAUMATISMOS DE LA CABEZA
T91;SECUELAS DE TRAUMATISMOS DEL CUELLO Y DEL TRONCO
T92;SECUELAS DE TRAUMATISMOS DE MIEMBRO SUPERIOR
T93;SECUELAS DE TRAUMATISMOS DE MIEMBRO INFERIOR
T94;SECUELAS DE TRAUMATISMOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO Y LAS NO ESPECIFICADAS
T95;SECUELAS DE QUEMADURAS, CORROSIONES Y CONGELAMIENTOS
T96;SECUELAS DE ENVENENAMIENTOS POR DROGAS, MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
T97;SECUELAS DE EFECTOS TOXICOS DE SUSTANCIAS DE PROCEDENCIA PRINCIPALMENTE NO MEDICINAL
T98;SECUELAS DE OTROS EFECTOS Y DE LOS NO ESPECIFICADOS DE LAS CAUSAS EXTERNAS
V01;PEATON(A) LESIONADO(A) POR COLISION CON VEHICULO DE PEDAL
V02;PEATON(A) LESIONADO(A) POR COLISION CON VEHICULO DE MOTOR DE DOS O DE TRES RUEDAS
V03;PEATON(A) LESIONADO(A) POR COLISION CON AUTOMOVIL, CON CAMIONETA O CON FURGONETA
V04;PEATON(A) LESIONADO(A) POR COLISION CON VEHICULO DE TRANSPORTE PESADO O CON AUTOBUS
V05;PEATON(A) LESIONADO(A) POR COLISION CON TREN O CON VEHICULO DE RIELES
V06;PEATON(A) LESIONADO(A) POR COLISION CON OTROS VEHICULOS SIN MOTOR
V09;PEATON(A) LESIONADO(A) EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V10;CICLISTA LESIONADO(A) POR COLISION CON PEATON(A) O CON ANIMAL
V11;CICLISTA LESIONADO(A) POR COLISION CON OTRO(A) CICLISTA
V12;CICLISTA LESIONADO(A) POR COLISION CON VEHICULO DE MOTOR DE DOS O DE TRES RUEDAS
V13;CICLISTA LESIONADO(A) POR COLISION CON AUTOMOVIL, CON CAMIONETA O CON FURGONETA
V14;CICLISTA LESIONADO(A) POR COLISION CON VEHICULO DE TRANSPORTE PESADO O CON AUTOBUS
V15;CICLISTA LESIONADO(A) POR COLISION CON TREN O CON VEHICULO DE RIELES
V16;CICLISTA LESIONADO(A) POR COLISION CON OTROS VEHICULOS SIN MOTOR
V17;CICLISTA LESIONADO(A) POR COLISION CON OBJETO ESTACIONADO O FIJO
V18;CICLISTA LESIONADO(A) EN ACCIDENTE DE TRANSPORTE SIN COLISION
V19;CICLISTA LESIONADO(A) EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V20;MOTOCICLISTA LESIONADO(A) POR COLISION CON PEATON(A) O CON ANIMAL
V21;MOTOCICLISTA LESIONADO(A) POR COLISION CON VEHICULO DE PEDAL
V22;MOTOCICLISTA LESIONADO(A) POR COLISION CON VEHICULO DE MOTOR DE DOS O DE TRES RUEDAS
V23;MOTOCICLISTA LESIONADO(A) POR COLISION CON AUTOMOVIL, CON CAMIONETA O CON FURGONETA
V24;MOTOCICLISTA LESIONADO(A) POR COLISION CON VEHICULO DE TRANSPORTE PESADO O CON AUTOBUS
V25;MOTOCICLISTA LESIONADO(A) POR COLISION CON TREN O CON VEHICULOS DE RIELES
V26;MOTOCICLISTA LESIONADO(A) POR COLISION CON OTROS VEHICULOS SIN MOTOR
V27;MOTOCICLISTA LESIONADO(A) POR COLISION CON OBJETO FIJO O ESTACIONADO
V28;MOTOCICLISTA LESIONADO(A) EN ACCIDENTE DE TRANSPORTE SIN COLISION
V29;MOTOCICLISTA LESIONADO(A) EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V30;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON PEATON(A) O CON ANIMAL
V31;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON VEHICULO DE PEDAL
V32;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON OTRO VEHICULO DE MOTOR DE DOS O DE TRES RUEDAS
V33;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON AUTOMOVIL, CON CAMIONETA O CON FURGONETA
V34;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON VEHICULO DE TRANSPORTE PESADO O CON AUTOBUS
V35;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON TREN O CON VEHICULO DE RIELES
V36;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON OTROS VEHICULOS SIN MOTOR
V37;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) POR COLISION CON OBJETO FIJO O ESTACIONADO
V38;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) EN ACCIDENTE DE TRANSPORTE SIN COLISION
V39;OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO(A) EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V40;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON PEATON(A) O CON ANIMAL
V41;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON VEHICULO DE PEDAL
V42;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON VEHICULO DE MOTOR DE DOS O DE TRES RUEDAS
V43;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON OTRO AUTOMOVIL, CON CAMIONETA, O CON FURGONETA
V44;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON VEHICULO DE TRANSPORTE PESADO O CON AUTOBUS
V45;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON TREN O CON VEHICULO DE RIELES
V46;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON OTROS VEHICULOS SIN MOTOR
V47;OCUPANTE DE AUTOMOVIL LESIONADO(A) POR COLISION CON OBJETO FIJO O ESTACIONADO
V48;OCUPANTE DE AUTOMOVIL LESIONADO(A) EN ACCIDENTE DE TRANSPORTE SIN COLISION
V49;OCUPANTE DE AUTOMOVIL LESIONADO(A) EN OTROS ACCIDENTES DE TRANSPORTE, Y EN LOS NO ESPECIFICADOS
V50;OCUPANTE DE CAMIONETA O FURGONETA LESIONADO(A) POR COLISION CON PEATON(A) O CON ANIMAL
V51;OCUPANTE DE CAMIONETA O FURGONETA LESIONADO(A) POR COLISION CON VEHICULO DE PEDAL
V52;OCUPANTE DE CAMIONETA O FURGONETA LESIONADO(A) POR COLISION CON VEHICULO DE MOTOR DE DOS O DE TRES RUEDAS
V53;OCUPANTE DE CAMIONETA O FURGONETA LESIONADO(A) POR COLISION CON AUTOMOVIL, CON CAMIONETA O CON FURGONETA
